,Unnamed: 0,id,trial_date,trial_hour,day_of_week,trial_country,subscription_date,sub_hour_start,sub_label,trial_dateTime,sub_dateTime,subLag,country_count,us,uk,can,aus,mon,tueSun,wedSat,thr,fri
47319,47319,519b8e4be4b0c7e5084d32dc,2013-05-21 00:00:00,11,Tuesday,United States,,,0,2013-05-21 11:00:00,,,45149,1,0,0,0,0,1,0,0,0
67530,67530,51a61c12e4b0cf20ca0d72d7,2013-05-29 00:00:00,11,Wednesday,United States,,,0,2013-05-29 11:00:00,,,45149,1,0,0,0,0,0,1,0,0
40312,40312,5197c6d9e4b00dab067a9568,2013-05-18 00:00:00,14,Saturday,United States,2013-05-24 00:00:00,14.0,1,2013-05-18 14:00:00,2013-05-24 14:00:00,6 days 00:00:00.000000000,45149,1,0,0,0,0,0,1,0,0
42285,42285,51993142e4b0f56ba1d9b852,2013-05-19 00:00:00,16,Sunday,United States,2013-05-27 00:00:00,10.0,1,2013-05-19 16:00:00,2013-05-27 10:00:00,7 days 18:00:00.000000000,45149,1,0,0,0,0,1,0,0,0
24741,24741,518eb1a2e4b07b22f5303223,2013-05-11 00:00:00,17,Saturday,United States,,,0,2013-05-11 17:00:00,,,45149,1,0,0,0,0,0,1,0,0
29836,29836,5191d067e4b036644a1d18a5,2013-05-14 00:00:00,1,Tuesday,Russian Federation,,,0,2013-05-14 01:00:00,,,436,0,0,0,0,0,1,0,0,0
989,989,51813bb7e4b05640e82db772,2013-05-01 00:00:00,11,Wednesday,United States,,,0,2013-05-01 11:00:00,,,45149,1,0,0,0,0,0,1,0,0
60901,60901,51a28c7ce4b00f442892b3bd,2013-05-26 00:00:00,18,Sunday,United States,,,0,2013-05-26 18:00:00,,,45149,1,0,0,0,0,1,0,0,0
59181,59181,51a13d55e4b0941ebb869e37,2013-05-25 00:00:00,18,Saturday,United States,,,0,2013-05-25 18:00:00,,,45149,1,0,0,0,0,0,1,0,0
20336,20336,518beec2e4b014975586cce1,2013-05-09 00:00:00,14,Thursday,Chile,,,0,2013-05-09 14:00:00,,,110,0,0,0,0,0,0,0,1,0
64961,64961,51a4ecfce4b0406339334bab,2013-05-28 00:00:00,13,Tuesday,United States,2013-06-06 00:00:00,20.0,1,2013-05-28 13:00:00,2013-06-06 20:00:00,9 days 07:00:00.000000000,45149,1,0,0,0,0,1,0,0,0
